Iteration,a,b,f(a),f(b),b - a,c,f(c)
83,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
84,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
85,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
86,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
87,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
88,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
89,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
90,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
91,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
92,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
93,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
94,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
95,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
96,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
97,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
98,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
99,5.0,5.0,0.775347980516919,0.775347980516919,0.0,5.0,0.775347980516919
